Line,U1
Color,255.0,0.0,0.0
#,Leopoldau,48.277522,16.451599,0.0
#,Grossfeld\siedlung,48.270512,16.448293,-1.0
#,Aderklaaer_\Strasse,48.26334,16.451711,1.0
#,Rennbahn\weg,48.256927,16.449172,1.0
#,Kagraner_\Platz,48.250526,16.443700,-2.0
#,Kagran,48.244299,16.434351,1.0
#,Alte_Donau,48.23789,16.424712,1.0
#,Kaiser\muehlen\-VIC,48.232191,16.416084,1.0
#,Donauinsel,48.228718,16.410377,1.0
#,Vorgarten_\Strasse,48.224029,16.401751,-1.0
#,Prater\stern,48.219454,16.392567,-2.0
#,Nestroy\platz,48.215537,16.385850,-2.0
#,Schweden\platz,48.211790,16.377654,-2.0
#,Stephans\platz,48.208673,16.372268,-4.0
#,Karlsplatz,48.201294,16.369178,-4.0
#,Taub\stummen\gasse,48.194715,16.369843,-2.0
#,Sued\tiroler_\Platz,48.186890,16.373727,-4.0
#,Kepler\platz,48.179665,16.375980,-2.0
#,Reumann\platz,48.174256,16.378190,-1.0
~,0,1,1.0
~,1,2,1.0
~,2,3,1.0
~,3,4,1.0
~,4,5,1.0
~,5,6,1.0
~,6,7,1.0
~,7,8,1.0
~,8,9,1.0
~,9,10,1.0
~,10,11,1.0
~,11,12,1.0
~,12,13,1.0
~,13,14,1.0
~,14,15,1.0
~,15,16,1.0
~,16,17,1.0
~,17,18,1.0
Line,U2
Color,153.0,0.0,255.0
#,Karlsplatz,48.201294,16.369178,-2.0
#,Museums\quartier,48.202558,16.361329,-2.0
#,Volks\theater,48.205112,16.358020,-1.0
#,Rathaus,48.210259,16.355362,-1.0
#,Schotten\tor,48.214897,16.363333,-2.0
#,Schotten\ring,48.216052,16.372388,-3.0
#,Tabor_\Strasse,48.219254,16.381709,-3.0
#,Prater\stern,48.219454,16.392567,-3.0
#,Messe-\Prater,48.217710,16.405613,-1.0
#,Krieau,48.214664,16.413767,1.0
#,Stadion,48.211319,16.420032,1.0
#,Donau\marina,48.208131,16.429076,2.0
#,Donaustadt\bruecke,48.215663,16.439739,2.0
#,Stadlau,48.222444,16.450,1.0
#,Hardeg\gasse,48.224319,16.459128,1.0
#,Donau\spital,48.223464,16.46822,1.0
#,Aspern_\Strasse,48.226573,16.474684,1.0
~,0,1,1.0
~,1,2,1.0
~,2,3,1.0
~,3,4,1.0
